期号_源,期号_目标,Top1_命中,Top2_命中,Top3_命中,Top4_命中,Top5_命中,补漏6_命中,后区_命中,号码池_命中数,号码池_命中率,Top5_联合覆盖,Top5+补漏6_联合覆盖,补漏6_增补,Top1_号码,Top2_号码,Top3_号码,Top4_号码,Top5_号码,补漏6_号码,目标前区,目标后区
2026034,2026044,3,0,0,1,2,1,0,5,100.0%,4,5,1,"3 11 22 25 26","12 13 15 27 31","5 7 11 12 23","24 25 26 28 32","3 5 8 12 21","2 6 14 16 29","3 8 22 26 29","7 10"
2026035,2026045,1,0,1,1,0,0,1,2,40.0%,2,2,0,"2 3 23 32 33","3 4 6 10 22","2 3 26 30 34","3 12 13 32 33","2 3 5 22 31","9 24 25 29 35","1 15 21 26 33","4 7"
2026036,2026046,0,1,0,0,1,1,0,3,60.0%,2,3,1,"4 5 6 22 26","5 13 16 32 34","2 5 6 11 23","3 5 6 12 24","5 6 22 31 33","14 15 25 27 35","1 13 18 27 33","4 7"
2026037,2026047,0,1,1,0,0,1,1,3,60.0%,2,3,1,"3 12 13 32 33","3 14 26 28 32","3 4 7 12 23","3 5 11 12 18","3 8 13 31 32","2 9 22 27 29","9 20 21 23 28","6 11"
2026038,2026048,0,0,2,2,0,0,0,4,80.0%,4,4,0,"3 5 18 33 34","3 8 13 21 32","3 17 31 34 35","3 8 11 12 23","3 15 18 33 34","4 7 9 22 28","11 17 20 23 35","1 10"
2026039,2026049,0,0,1,0,0,1,0,3,60.0%,1,2,1,"5 10 23 26 27","10 13 22 25 31","3 6 9 10 21","10 11 26 29 33","4 7 10 11 22","12 15 16 20 30","1 6 14 15 17","2 3"
2026040,2026050,0,2,0,0,0,1,1,5,100.0%,2,3,1,"11 12 13 26 34","3 12 13 14 33","12 13 16 32 34","12 13 21 26 35","12 13 15 26 31","2 4 5 22 23","6 10 14 23 33","8 10"
2026041,2026051,0,0,1,0,2,1,1,4,80.0%,3,4,1,"4 21 23 25 27","3 4 22 24 26","13 23 25 26 34","4 23 26 29 35","4 23 26 28 32","2 5 12 14 33","13 18 28 32 33","2 11"
2026042,2026052,1,0,3,1,1,0,1,3,60.0%,3,3,0,"3 12 13 24 27","13 25 26 32 34","2 3 13 23 33","3 12 14 18 26","3 4 12 22 26","5 7 9 17 19","2 3 20 28 33","2 12"
2026043,2026053,0,1,1,1,1,0,1,4,80.0%,4,4,0,"4 12 13 22 26","14 25 26 28 32","2 12 13 18 24","9 12 13 21 32","8 12 13 20 24","3 5 11 15 23","2 9 14 20 31","5 9"
